id,method,is_correct,pred_answer,gold_answer,wall_time_s,output_tokens,internal_generated_tokens,accept_rate,num_steps,seed,alpha,B,N_mcmc,T_max,model_name
1,grpo_single,1,3/4,3/4,6.559422780002933,288,288,,0,42,,,,512,Qwen/Qwen2.5-Math-1.5B-Instruct
2,grpo_single,1,4,4,11.303562205997878,512,512,,0,43,,,,512,Qwen/Qwen2.5-Math-1.5B-Instruct
3,grpo_single,1,24,24,11.293847439010278,512,512,,0,44,,,,512,Qwen/Qwen2.5-Math-1.5B-Instruct
4,grpo_single,1,25,25,10.807189307000954,512,512,,0,45,,,,512,Qwen/Qwen2.5-Math-1.5B-Instruct
5,grpo_single,1,30,30,7.968731114000548,386,386,,0,46,,,,512,Qwen/Qwen2.5-Math-1.5B-Instruct
6,grpo_single,1,15,15,5.959648470001412,289,289,,0,47,,,,512,Qwen/Qwen2.5-Math-1.5B-Instruct
7,grpo_single,1,3/4,3/4,4.1821557120129,202,202,,0,48,,,,512,Qwen/Qwen2.5-Math-1.5B-Instruct
8,grpo_single,1,28,28,2.1973004180035787,106,106,,0,49,,,,512,Qwen/Qwen2.5-Math-1.5B-Instruct
9,grpo_single,1,12,12,10.636714658001438,512,512,,0,50,,,,512,Qwen/Qwen2.5-Math-1.5B-Instruct
10,grpo_single,1,25,25,6.135511259999475,294,294,,0,51,,,,512,Qwen/Qwen2.5-Math-1.5B-Instruct
11,grpo_single,1,12,12,10.741272796993144,512,512,,0,52,,,,512,Qwen/Qwen2.5-Math-1.5B-Instruct
12,grpo_single,1,23,23,4.974408857000526,238,238,,0,53,,,,512,Qwen/Qwen2.5-Math-1.5B-Instruct
13,grpo_single,1,12,12,10.702177896004287,512,512,,0,54,,,,512,Qwen/Qwen2.5-Math-1.5B-Instruct
14,grpo_single,1,3/4,3/4,6.300409026007401,301,301,,0,55,,,,512,Qwen/Qwen2.5-Math-1.5B-Instruct
15,grpo_single,1,32,32,6.898828870005673,330,330,,0,56,,,,512,Qwen/Qwen2.5-Math-1.5B-Instruct
16,grpo_single,0,9,9π,2.38871708100487,115,115,,0,57,,,,512,Qwen/Qwen2.5-Math-1.5B-Instruct
17,grpo_single,1,3,3,5.7233194959990215,275,275,,0,58,,,,512,Qwen/Qwen2.5-Math-1.5B-Instruct
18,grpo_single,1,7,7,7.29106828100339,348,348,,0,59,,,,512,Qwen/Qwen2.5-Math-1.5B-Instruct
19,grpo_single,1,1/2,1/2,7.17948142599198,344,344,,0,60,,,,512,Qwen/Qwen2.5-Math-1.5B-Instruct
20,grpo_single,1,12,12,6.10644007200608,295,295,,0,61,,,,512,Qwen/Qwen2.5-Math-1.5B-Instruct
21,grpo_single,1,5,5,5.26065736298915,252,252,,0,62,,,,512,Qwen/Qwen2.5-Math-1.5B-Instruct
22,grpo_single,1,x^5,x^5,5.13320350900176,246,246,,0,63,,,,512,Qwen/Qwen2.5-Math-1.5B-Instruct
23,grpo_single,1,20,20,10.67509198699554,512,512,,0,64,,,,512,Qwen/Qwen2.5-Math-1.5B-Instruct
24,grpo_single,1,90,90,1.0859593550121645,52,52,,0,65,,,,512,Qwen/Qwen2.5-Math-1.5B-Instruct
25,grpo_single,1,9,9,10.65982699500455,512,512,,0,66,,,,512,Qwen/Qwen2.5-Math-1.5B-Instruct
26,grpo_single,1,13,13,6.923518719995627,332,332,,0,67,,,,512,Qwen/Qwen2.5-Math-1.5B-Instruct
27,grpo_single,1,27,27,5.003362641000422,242,242,,0,68,,,,512,Qwen/Qwen2.5-Math-1.5B-Instruct
28,grpo_single,1,7,7,2.6472906850103755,128,128,,0,69,,,,512,Qwen/Qwen2.5-Math-1.5B-Instruct
29,grpo_single,1,0.4,0.4,4.713478103993111,228,228,,0,70,,,,512,Qwen/Qwen2.5-Math-1.5B-Instruct
30,grpo_single,1,5,5,4.708926362989587,227,227,,0,71,,,,512,Qwen/Qwen2.5-Math-1.5B-Instruct
31,grpo_single,1,3,3,5.508504518002155,267,267,,0,72,,,,512,Qwen/Qwen2.5-Math-1.5B-Instruct
32,grpo_single,1,x^4,x^4,2.7790550039935624,134,134,,0,73,,,,512,Qwen/Qwen2.5-Math-1.5B-Instruct
33,grpo_single,1,180,180,5.334186417996534,259,259,,0,74,,,,512,Qwen/Qwen2.5-Math-1.5B-Instruct
34,grpo_single,1,7,7,4.668135831001564,227,227,,0,75,,,,512,Qwen/Qwen2.5-Math-1.5B-Instruct
35,grpo_single,1,3,3,4.599353547004284,222,222,,0,76,,,,512,Qwen/Qwen2.5-Math-1.5B-Instruct
36,grpo_single,0,\[,1,10.580895505991066,512,512,,0,77,,,,512,Qwen/Qwen2.5-Math-1.5B-Instruct
37,grpo_single,1,29,29,7.174651157998596,346,346,,0,78,,,,512,Qwen/Qwen2.5-Math-1.5B-Instruct
38,grpo_single,0,x = 7 or x = -7,7,3.714783924006042,181,181,,0,79,,,,512,Qwen/Qwen2.5-Math-1.5B-Instruct
39,grpo_single,1,6,6,5.353527390005183,260,260,,0,80,,,,512,Qwen/Qwen2.5-Math-1.5B-Instruct
40,grpo_single,1,0.75,0.75,2.342917141999351,112,112,,0,81,,,,512,Qwen/Qwen2.5-Math-1.5B-Instruct
41,grpo_single,0,10,10π,10.56769772300322,512,512,,0,82,,,,512,Qwen/Qwen2.5-Math-1.5B-Instruct
42,grpo_single,0,5sqrt(2),5√2,6.589837246996467,319,319,,0,83,,,,512,Qwen/Qwen2.5-Math-1.5B-Instruct
43,grpo_single,1,-5,-5,10.645019760995638,512,512,,0,84,,,,512,Qwen/Qwen2.5-Math-1.5B-Instruct
44,grpo_single,1,1/8,1/8,2.8993813750130357,140,140,,0,85,,,,512,Qwen/Qwen2.5-Math-1.5B-Instruct
45,grpo_single,1,12,12,5.006698569995933,239,239,,0,86,,,,512,Qwen/Qwen2.5-Math-1.5B-Instruct
46,grpo_single,0,),1,10.717473657990922,512,512,,0,87,,,,512,Qwen/Qwen2.5-Math-1.5B-Instruct
47,grpo_single,1,28,28,3.3465885679906933,160,160,,0,88,,,,512,Qwen/Qwen2.5-Math-1.5B-Instruct
48,grpo_single,0,"[0, )","[0,∞)",4.460690920997877,213,213,,0,89,,,,512,Qwen/Qwen2.5-Math-1.5B-Instruct
49,grpo_single,1,-8,-8,5.222866135998629,249,249,,0,90,,,,512,Qwen/Qwen2.5-Math-1.5B-Instruct
50,grpo_single,1,6,6,7.6015171090111835,363,363,,0,91,,,,512,Qwen/Qwen2.5-Math-1.5B-Instruct
